基金代码,净值,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,成立时间距今天数,基金公司_基金公司1,基金公司_基金公司10,基金公司_基金公司11,基金公司_基金公司12,基金公司_基金公司13,基金公司_基金公司14,基金公司_基金公司15,基金公司_基金公司16,基金公司_基金公司17,基金公司_基金公司18,基金公司_基金公司19,基金公司_基金公司2,基金公司_基金公司20,基金公司_基金公司21,基金公司_基金公司22,基金公司_基金公司24,基金公司_基金公司25,基金公司_基金公司26,基金公司_基金公司27,基金公司_基金公司28,基金公司_基金公司29,基金公司_基金公司3,基金公司_基金公司30,基金公司_基金公司31,基金公司_基金公司32,基金公司_基金公司33,基金公司_基金公司34,基金公司_基金公司35,基金公司_基金公司36,基金公司_基金公司37,基金公司_基金公司38,基金公司_基金公司39,基金公司_基金公司4,基金公司_基金公司40,基金公司_基金公司41,基金公司_基金公司42,基金公司_基金公司43,基金公司_基金公司44,基金公司_基金公司45,基金公司_基金公司46,基金公司_基金公司47,基金公司_基金公司48,基金公司_基金公司49,基金公司_基金公司5,基金公司_基金公司50,基金公司_基金公司51,基金公司_基金公司52,基金公司_基金公司53,基金公司_基金公司54,基金公司_基金公司56,基金公司_基金公司57,基金公司_基金公司58,基金公司_基金公司59,基金公司_基金公司6,基金公司_基金公司60,基金公司_基金公司7,基金公司_基金公司8,基金公司_基金公司9
J0001,-0.7604817578221188,-1.2248949755519936,-1.1940177956134093,1.4121528388401157,0.3024164599200801,-0.9817920990512786,1.7758166697816182,1.203970732440156,-0.9997481425473215,0.6281206246619221,0.5354366961403958,-1.7610078316598436,0.7934484377428977,-0.2795690883835187,-0.8391321992179716,-0.4303565912755179,-0.5417252879660307,1.4734002182740917,0.13738997898093153,0.41980087800863713,1.5518995037618066,-0.37205643065935834,-1.5608446221606271,-0.9071587824143972,0.005076796248721601,-0.518328367540556,0.21970371091331198,0.7256846086917931,0.831718178723843,-1.8420440314097368,1.92178920213082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J0002,-0.4724379367591801,-0.012127673025267008,-0.6741261574653356,1.101105958038328,-0.6280957244493974,0.5286572841045347,-1.1067240164889378,-1.2784431488797527,-0.36498741712045074,1.2893002295692082,-0.15920865268793422,-1.7121427491386996,-0.9701079221615763,1.0192543589789813,-0.3583494033013749,1.3505365239398774,-1.6383351826341088,-1.479305629970581,0.13738997898093153,-1.3982344204539654,-0.2141544890667511,-0.026437388748996676,-1.0554443127724047,-0.48226466723799716,1.0204360459930635,-1.1944088469412808,0.06498278773492326,0.07871467523699989,1.1171558153023717,0.49713185147010663,-0.2777193116823187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J0003,0.2241378084655834,1.2006396295014596,-1.0207205828973847,-1.5427925287768665,0.6125871880432392,-0.11867816581938528,1.0429802238789285,-0.03723620821979839,-1.3171285052607569,-1.0248283876062936,0.12076977141919105,-0.499221335654694,-1.3160141609978564,0.07346548612865585,1.3367157577145172,-1.2683754996408523,1.4321725224365098,-0.29822329067271186,-1.3771452223836684,1.080904622904129,1.0415774979891725,0.7197848821793631,1.3030904643726333,1.1168044145610552,1.5281156708652344,0.8338325912608939,1.6121920195188106,-0.5682552582177933,1.4597280353743138,1.7674756422382158,2.4486676674168573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J0004,-0.6659501320073659,1.2006396295014596,1.2321431824109343,-1.3872690883759726,0.9227579161663984,-0.7660136157433053,-1.6416752473226137,-0.03723620821979839,1.221914396446726,1.2893002295692082,0.33545058486547047,-1.753185364366852,1.456533224355153,-0.6302406928231731,-0.7028269609282924,0.5694527662918673,0.774206585635663,-0.8887644603216465,-0.9444208791366399,0.2545249417847642,-0.9511242216864726,-1.6299002850044382,0.1238230758001144,0.30900232554076107,-1.5179620783677912,0.6084724314606523,1.302750173162033,-1.2152251916725865,0.004413142606594336,1.8934521231462524,0.2909749048168958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J0005,-0.5461704851351792,-1.2248949755519936,0.5389543315468363,-0.6096518863715037,0.6125871880432392,-1.4133490656672252,1.0598423421327041,-1.2784431488797527,-0.36498741712045074,-1.0248283876062936,-0.32534178879624404,-0.9202706009022604,-0.9879675240566419,1.3350846678303718,-0.9595593034611877,-0.8675579550775355,-0.5417252879660307,-0.29822329067271186,-0.7280587075131256,0.41980087800863713,0.5527545360344629,0.8266490305633566,-0.8869775429763305,0.8052440993417179,-1.0102824534956203,0.157752111860169,-0.8633427513354092,-1.4308818361575175,1.5722719710524973,0.47706011573022705,-0.9802239320637014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J0006,0.1444695715592048,1.2006396295014596,-0.15423451931726195,0.1679653156329653,-1.558607908818875,0.744435767412508,-1.0210909006137723,-0.03723620821979839,-0.04760705440701542,-0.3636487826990073,-1.1132553648243186,1.3060898823699585,-1.226670614703154,0.3434755601521229,-0.9206446651013133,0.37445544515307116,0.9935285645692786,1.4734002182740917,1.0028386654749886,-0.9024066117823465,1.5815218025684448,1.3832316895112517,-0.8869775429763305,0.08160326562410794,-1.0102824534956203,0.3831122716604106,1.6121920195188106,0.510027964206862,-0.7636051209057978,-1.7969197703689894,0.25334072872503605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J0007,-0.38265751093014566,1.2006396295014596,0.7122515442628607,-0.9206987671732912,-0.3179249963262383,0.09710031748858804,-0.6205896615676725,1.203970732440156,0.9045340337332907,0.6281206246619221,0.12105399041386217,-0.670329081362761,0.4612614647306513,1.0787586665984983,0.39267034903715975,1.224838161577888,0.5548846067020474,-0.8887644603216465,-0.07897219264258276,0.5850768142325101,-0.022966736300386585,1.3249440164690156,0.1238230758001144,-0.8845602424690566,-0.5026028286234493,-1.6451291665417642,0.37442463409170074,-0.5682552582177933,1.0843608040448638,1.1680001099120114,0.12371189996418568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J0008,-0.26289483653206663,-1.2248949755519936,0.8855487569788854,-0.9206987671732912,-1.558607908818875,1.391771217336428,-0.613184492970386,1.203970732440156,-0.04760705440701542,1.2893002295692082,-2.0183080000974623,1.5005612241462492,0.15309341198029539,0.3573566099010037,1.5065390105051137,-0.21786492626224732,1.4321725224365098,1.1781296334496245,-1.1607830507601542,1.411456495351875,0.04619444762232845,1.3381477539397466,-0.7185107731802564,-1.4028953743134387,0.5127564211208925,0.157752111860169,-1.1727845976921867,0.07871467523699989,1.4734933761205875,0.3067115989515795,-0.12718260731487957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J0009,-0.6704828874872941,1.2006396295014596,0.0190626933987626,1.2566293984392218,0.3024164599200801,-0.7660136157433053,0.5439758299844114,-1.2784431488797527,-0.9997481425473215,-1.6860079925135798,-1.0974566092860296,-1.3674798808520499,-1.4307978959138712,1.794243690706211,0.013345581633300841,-0.27618198287689594,1.6514945013701254,0.8828590486251572,1.219200837098503,-1.0676825480062193,-1.2320810666862487,1.194909128557165,-0.381577233588108,-0.5742375133860176,-1.5179620783677912,-0.06760804794007265,-1.3275055208705753,-0.7839119027027244,-1.2398426711428399,1.0524242566256439,-1.072218584732692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J0010,0.1660313660835297,-0.012127673025267008,1.405440395126959,-1.2317456479750788,-0.9382664525725566,0.744435767412508,0.7729224234553518,1.203970732440156,-0.04760705440701542,0.9587104271155652,2.000554464056329,-1.1107077157793466,-0.5006740859491298,-1.6373216539401347,1.070031556418608,-1.3801938529634876,0.5548846067020474,0.2923178789762227,-1.3771452223836684,1.7420083677996208,0.5896751781238653,-0.6412287333434772,-1.2239110825684787,-1.0624543662011645,1.0204360459930635,0.8338325912608939,-1.3275055208705753,0.294371319721931,-1.6189463395677774,-0.461568081385033,-0.9802239320637014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
