客户编号,feature1,feature2,feature3,feature4,feature5,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature23,feature24,feature25,feature27,feature28,feature29,feature30,feature32,feature33,feature35,feature36,feature37,feature38,feature39,feature40,客户公司名称_公司1,客户公司名称_公司10,客户公司名称_公司11,客户公司名称_公司12,客户公司名称_公司13,客户公司名称_公司14,客户公司名称_公司15,客户公司名称_公司16,客户公司名称_公司17,客户公司名称_公司18,客户公司名称_公司19,客户公司名称_公司2,客户公司名称_公司20,客户公司名称_公司3,客户公司名称_公司4,客户公司名称_公司5,客户公司名称_公司6,客户公司名称_公司7,客户公司名称_公司8,客户公司名称_公司9
C1936,-0.41527802880438003,-1.0952005930694393,0.32874164098386355,1.4207443286938857,0.7380176103749624,0.6688229025419037,-0.5937580909677854,-0.3024471412306842,-1.3999551243328527,-1.6726487246141681,-1.0171358763709355,-1.2992909341248247,0.23171776924593485,1.5989567006208494,1.0772516738150966,-0.8328762816015823,-1.4591135471479548,0.7087711879549778,-0.2733099216795728,1.5439401633513687,1.3520401821077406,-0.29873101573694977,-0.1671185266707714,0.6118418487488827,-0.5654666137413913,-0.9890566863448246,0.7057631301046265,1.3245977178815929,0.854074537654956,0.7108019249483817,0.0032127433518257314,0.4338823591140051,-1.1069296983845511,-1.4916315529398696,1.0583189476608252,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6495,0.7317998237411668,0.059089745660367746,1.22736429551636,0.3344651767884778,1.1682385267773117,1.0510187931578312,0.010570504512966322,-1.3641176507266493,-1.4966527596516117,-0.14325813637137222,1.588391784759824,0.880469198463885,-0.038000990781368205,1.0837644233597028,-1.5473889472197815,1.386940660816347,0.5785449421909664,-1.1423478470487054,-0.46666108218980845,0.5124627103002887,-0.7605575699566592,-1.6505870575910566,0.41319246275715155,-1.3790162956839616,-0.8386026190330417,1.3659604643294319,-0.0013995928892587145,-1.7344335573015255,-1.2422683542547637,-1.0050603975455115,0.9981268135946484,1.5915853497666679,-1.686252879134248,-0.3040214408979928,-1.5175738592128376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1721,-1.5623558813499268,0.7324257765860885,-0.7702665099132745,1.6045761851701856,1.299400372956905,1.0510187931578312,0.0273574099429872,-0.1947603502290089,-1.2065598536953346,0.6421337899062131,-0.14862665599401567,-1.153973591952244,-1.3801773472298176,0.43214070361222723,1.2191241398169819,-1.11568209666022,-1.5663587307973716,0.9235085166444182,1.4668505229125481,-0.9303801028055466,-0.7963643115170728,-0.15388929696686687,-0.7054836784231648,-3.4088647831145487,-0.8496134902048283,-0.8961494305496472,-0.0013995928892587145,0.5962569380760885,-0.036358138640297466,-0.7190833437965294,-0.991701326890997,0.14445661145083938,1.427609217395373,1.4953878197715174,1.3938740404311445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C9121,-0.41527802880438003,-0.8547234391673962,-0.8856440800606648,0.7021288897410775,0.9715786065819026,-1.6243524411536618,-1.0302176321483283,-0.6270154978836604,-0.09453704752960544,-1.264633715087383,0.43037949092393085,-0.9117780216646095,-0.4635565941852018,1.4609919425597715,0.6161661593089693,-0.693886052409272,0.22106099669291004,-1.6667826549395781,0.8867970413818411,1.0040551822026464,0.20622445217450677,1.5842113282741277,1.0334597298937114,-0.39896728517747143,-1.2383804757728554,-0.5818264720597277,0.7057631301046265,0.4141717431247124,1.461180182213405,-0.14712923629856495,0.9981268135946484,-0.43439488387549197,1.2465707234110928,0.5237068190099818,1.6265682217594606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0361,0.7317998237411668,-0.03710111590044951,0.3756555785357916,0.18405729421695977,-0.3717083189501057,-0.09556887868995145,-0.17408545521726337,1.2293573394776243,0.9691369409767442,-0.14331059351522174,0.7198825643829041,0.6382736281762507,-0.23521776813557857,0.817693490486334,0.3678893438056701,0.559517132879171,0.29255778579252134,1.4660168344159152,-0.2733099216795728,0.25702779223018174,-0.5457171205941779,0.7151610156536304,1.5785515689501852,-1.034542137796467,-0.3290924103742717,-1.096345666794595,-0.0013995928892587145,-0.7147564655738193,-0.06529561040258293,-1.0050603975455115,-0.4942442917695856,-0.7238206315386576,0.9207014342393881,-1.0597733303791872,-0.270071134902861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C9664,-1.5623558813499268,1.0209983612685403,1.5724374560635794,0.7522648505982501,0.41410039757540024,-1.433254495845698,1.03457173574424,-1.4154505687832633,0.4856487643829489,-0.7568485832897365,0.14087641746495758,0.5413954000611969,-1.588967260561433,0.8203553051292133,1.2191241398169819,1.1721321131814122,-0.9228876289008703,-0.9924985672225755,-0.46666108218980845,-0.32373394069884176,1.2804266989869133,0.2323552864200208,1.063178349948382,0.7468069713886265,-0.2688108105371436,0.08498679792930493,1.4129258530985118,-0.6783394265835441,-1.3058898930789198,0.9967789786973639,-0.4942442917695856,-1.0132463792018234,1.6448554101765094,0.739635930290323,0.4773169812188508,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5278,-0.9888169550771534,1.2614755151705834,-0.9478496730818217,-1.3701574923553932,-0.30244267133052305,-0.477764769305879,0.010570504512966322,0.32268357885077337,-0.28793231816712356,-0.7271866156919252,0.14087641746495758,0.49295628600367003,0.5810834862220317,0.8882051135587117,-1.1927077822150682,0.8777704133959895,1.1147708604380508,0.1882575424722673,-1.0467145637205155,0.4892320731376319,-0.295069929671283,-1.409184192974252,1.4085701952062237,-0.09771310238252684,1.121842558148925,0.088249236753346,-0.708562315883144,1.7251851467746202,0.5446935099321423,0.13884781745041724,-0.991701326890997,0.4338823591140051,0.7396629402551078,0.7036477450769328,-1.6470953424187382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C8547,-0.7020474919407668,-0.8066280083869876,-0.06917904159650573,1.236912472217586,1.081046826101105,-1.0510586052297703,-1.6849069439191426,0.07791810999448215,1.2592298469330214,-0.4620719927981265,1.2988887113008505,-1.0570953638371903,1.1826163445218796,0.6756646380267577,1.5028690718207525,1.543789352572644,-1.0658812071000927,0.631520565799663,0.8867970413818411,1.7038032683487554,-0.7247508283962456,-1.409184192974252,0.8037078714597846,1.742447573818152,1.0436183200547096,0.9512559340734507,1.4129258530985118,0.15925247019278588,0.3521941591176494,1.5687330861953281,-0.4942442917695856,1.3021596021035022,1.391401518598517,-0.2680332556846026,-0.0042545409313403375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C2222,0.4450303606047801,0.5881394842448627,0.4746282540657695,0.5182970332647776,0.3619957248601983,-0.28666682399791527,-0.5266104692477018,1.4226780299596031,0.34060231140481034,1.3105064077737811,1.0093856378418773,0.5898345141187238,1.2994454012165813,-0.17868730565635044,-1.4409845977183675,-1.2509413933468942,1.4365064113863015,0.14331317486136266,1.4668505229125481,0.4331931376228868,0.009287373592232214,-0.009047578196784001,-0.17013021621176563,1.616021263298983,0.9970686643435853,-0.337919764236875,-0.708562315883144,-0.9696757385057458,0.6254019293153217,1.5687330861953281,-0.4942442917695856,-1.5920978745281547,-0.6000219152285663,-1.2757024416595284,1.5308481614094276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C4618,0.1582608974683934,-0.1813874082416754,-0.5364419961715494,1.3538963808843223,-1.666050905691105,-0.28666682399791527,1.1017193574643236,1.1433329870865616,0.8724393056579851,-0.13975913912872762,-0.14862665599401567,0.05700425948592808,1.0088893536942705,-1.2449288818427229,1.2191241398169819,0.8620858710464433,-0.458158499753397,-0.927529898098234,0.8867970413818411,-1.0234647897775047,0.7075188340202965,1.0048444531937961,-0.07437293483472229,1.4019714866680242,0.8708161826596924,0.6793415833926287,1.4129258530985118,0.05000135322196024,0.44767899035826847,1.5687330861953281,-0.991701326890997,0.4338823591140051,0.5948321450676837,-0.4119859965381634,1.7166600776388934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
